Name;Year;Durasi(Menit);Rating;Rated;Budget;Gross_Us;Opening_Week;Open_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
The Shawshank Redemption;1994;142.0;9.3;15;25000000;28767189;727327;1994-09-25 00:00:00;29330423;0;;;
The Godfather;1972;175.0;9.2;15;6000000;136381073;302393;1972-03-19 00:00:00;250342030;175;Color;Mono(RCA Sound Recording, original release)Dolby Digital;1.85 : 1
The Dark Knight;2008;152.0;9.0;12A;185000000;534987076;158411483;2008-07-20 00:00:00;1008497140;152;Color;Dolby DigitalSDDSDTS;2.39 : 1
The Godfather Part II;1974;202.0;9.0;X;13000000;47834595;171417;2019-11-10 00:00:00;47962897;202;Color;Dolby Digital;1.85 : 1
Schindler's List;1993;195.0;9.0;15;22000000;96898818;656636;1993-12-19 00:00:00;322161245;195;Black and WhiteColor;DTSDTS-Stereo;1.85 : 1
The Lord of the Rings: The Return of the King;2003;201.0;9.0;12A;94000000;381722353;72629713;2003-12-21 00:00:00;1151301082;201;Color;DTS-ESDolby Digital EXSDDSDolby Atmos;2.39 : 1
Pulp Fiction;1994;154.0;8.9;18;8000000;107928762;9311882;1994-10-16 00:00:00;213928762;154;Color;Dolby DigitalDTS;2.39 : 1
The Lord of the Rings: The Fellowship of the Ring;2001;178.0;8.9;PG;93000000;319205075;47211490;2001-12-23 00:00:00;887184080;178;Color;DTSSDDS;2.39 : 1
The Good, the Bad and the Ugly;1966;148.0;8.8;18;0;0;0;1900-01-01 00:00:00;0;148;Color;Mono;2.35 : 1
Forrest Gump;1994;142.0;8.8;12;55000000;330455270;24450602;1994-07-10 00:00:00;678226465;142;ColorBlack and White;Dolby SRSDDSDolby Atmos;2.39 : 1
The Lord of the Rings: The Two Towers;2002;179.0;8.8;12A;94000000;345372040;62007528;2002-12-22 00:00:00;951403754;179;Color;DTS-ESDolby Digital EXSDDSDolby Atmos;2.39 : 1
Fight Club;1999;139.0;8.8;15;63000000;37030102;11035485;1999-10-17 00:00:00;101320107;139;Color;Dolby Digital;2.39 : 1
Inception;2010;148.0;8.8;12A;160000000;292587330;62785337;2010-07-18 00:00:00;839030630;148;Color;Dolby DigitalDTSSDDS;2.39 : 1
Star Wars: Episode V - The Empire Strikes Back;1980;124.0;8.7;U;18000000;292753960;4910483;1980-05-25 00:00:00;538375067;0;;;
The Matrix;1999;136.0;8.7;15;63000000;172076928;27788331;1999-04-04 00:00:00;467683490;136;Color;Dolby DigitalSDDSDolby Atmos;2.39 : 1
GoodFellas;1990;145.0;8.7;18;25000000;46909721;6368901;1990-09-23 00:00:00;47049784;145;Color;Dolby SR;1.85 : 1
One Flew Over the Cuckoo's Nest;1975;133.0;8.7;15;0;0;0;1900-01-01 00:00:00;0;133;Color;Mono;1.85 : 1
Seven;1995;127.0;8.6;18;33000000;100125643;13949807;1995-09-24 00:00:00;327333559;127;Color;DTSDolby DigitalDTS 70 mm;2.39 : 1
Interstellar;2014;169.0;8.7;12A;165000000;188020017;47510360;2014-11-09 00:00:00;705191242;169;Color;DatasatDolby DigitalIMAX 6-TrackDolby Surround 7.1;2.39 : 1
It's a Wonderful Life;1946;130.0;8.6;U;3180000;1483643;44000;2020-12-20 00:00:00;9767242;0;;;
Seven Samurai;1954;207.0;8.6;PG;125000000;318649;15942;2002-07-28 00:00:00;346258;207;Black and White;Mono;1.37 : 1
