Name;Year;Durasi(Menit);Rating;Rated
The Shawshank Redemption;1994;142;9.3;15
The Godfather;1972;175;9.2;15
The Dark Knight;2008;152;9.0;12A
The Godfather Part II;1974;202;9.0;X
Angry Men;1957;96;9.0;U
Schindler's List;1993;195;9.0;15
The Lord of the Rings: The Return of the King;2003;201;9.0;12A
Pulp Fiction;1994;154;8.9;18
The Lord of the Rings: The Fellowship of the Ring;2001;178;8.9;PG
The Good, the Bad and the Ugly;1966;148;8.8;18
Forrest Gump;1994;142;8.8;12
The Lord of the Rings: The Two Towers;2002;179;8.8;12A
Fight Club;1999;139;8.8;15
Inception;2010;148;8.8;12A
Star Wars: Episode V - The Empire Strikes Back;1980;124;8.7;U
The Matrix;1999;136;8.7;15
GoodFellas;1990;145;8.7;18
One Flew Over the Cuckoo's Nest;1975;133;8.7;15
Seven;1995;127;8.6;18
Interstellar;2014;169;8.7;12A
It's a Wonderful Life;1946;130;8.6;U
Seven Samurai;1954;207;8.6;PG
The Silence of the Lambs;1991;118;8.6;18
Saving Private Ryan;1998;169;8.6;15
City of God;2002;130;8.6;18
Life Is Beautiful;1997;116;8.6;PG
The Green Mile;1999;189;8.6;18
Terminator Judgment Day;1991;137;8.6;15
Star Wars: Episode IV - A New Hope;1977;121;8.6;U
Back to the Future;1985;116;8.5;PG
Spirited Away;2001;125;8.6;PG
Dune: Part Two;2024;166;8.6;12A
The Pianist;2002;150;8.5;15
Parasite;2019;132;8.5;15
Psycho;1960;109;8.5;15
Gladiator;2000;155;8.5;15
Spider-Man: Across the Spider-Verse;2023;140;8.6;PG
The Lion King;1994;88;8.5;U
The Departed;2006;151;8.5;18
Leon;1994;110;8.5;18
American History X;1998;119;8.5;18
Whiplash;2014;106;8.5;15
The Prestige;2006;130;8.5;12A
Grave of the Fireflies;1988;89;8.5;12A
Harakiri;1962;133;8.6;X
The Usual Suspects;1995;106;8.5;18
Casablanca;1942;102;8.5;U
Untouchable;2011;112;8.5;15
Cinema Paradiso;1988;174;8.5;PG
Modern Times;1936;87;8.5;U
Rear Window;1954;112;8.5;PG
Once Upon a Time in the West;1968;166;8.5;12
Alien;1979;117;8.5;X
City Lights;1931;87;8.5;U
Django Unchained;2012;165;8.5;18
Apocalypse Now;1979;147;8.4;X
Memento;2000;113;8.4;15
WALL·E;2008;98;8.4;U
12th Fail;2023;147;8.9;12A
Raiders of the Lost Ark;1981;115;8.4;PG
The Lives of Others;2006;137;8.4;15
Sunset Blvd.;1950;110;8.4;PG
Avengers: Infinity War;2018;149;8.4;12A
Paths of Glory;1957;88;8.4;PG
Spider-Man: Into the Spider-Verse;2018;117;8.4;PG
Witness for the Prosecution;1957;116;8.4;U
The Shining;1980;146;8.4;X
The Great Dictator;1940;125;8.4;PG
Aliens;1986;137;8.4;18
Inglourious Basterds;2009;153;8.4;18
The Dark Knight Rises;2012;164;8.4;12A
Coco;2017;105;8.4;PG
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;95;8.3;PG
Oldboy;2003;;8.3;18
American Beauty;1999;122;8.3;18
Amadeus;1984;160;8.4;PG
Toy Story;1995;81;8.3;PG
Avengers: Endgame;2019;181;8.4;12A
Das Boot;1981;149;8.4;AA
Braveheart;1995;178;8.3;15
Good Will Hunting;1997;126;8.3;15
Princess Mononoke;1997;134;8.3;PG
Joker;2019;122;8.4;15
Your Name.;2016;106;8.4;12A
High and Low;1963;143;8.4;12
Once Upon a Time in America;1984;229;8.3;18
3 Idiots;2009;170;8.4;12A
Singin' in the Rain;1952;103;8.3;U
Capernaum;2018;126;8.4;15
Come and See;1985;142;8.4;15
Requiem for a Dream;2000;102;8.3;18
Toy Story 3;2010;103;8.3;PG
Star Wars: Episode VI - Return of the Jedi;1983;131;8.3;PG
Eternal Sunshine of the Spotless Mind;2004;108;8.3;15
The Hunt;2012;115;8.3;15
A Space Odyssey;1968;149;8.3;U
Reservoir Dogs;1992;99;8.3;18
Ikiru;1952;143;8.3;PG
Oppenheimer;2023;;8.3;15
Lawrence of Arabia;1962;218;8.3;PG
The Apartment;1960;125;8.3;PG
Incendies;2010;131;8.3;15
North by Northwest;1959;136;8.3;PG
Citizen Kane;1941;119;8.3;A
M;1931;117;8.3;PG
Scarface;1983;170;8.3;18
Double Indemnity;1944;107;8.3;A
Vertigo;1958;128;8.3;PG
Full Metal Jacket;1987;116;8.3;18
Amélie;2001;122;8.3;15
Heat;1995;170;8.3;15
Up;2009;96;8.3;U
A Clockwork Orange;1971;136;8.3;X
To Kill a Mockingbird;1962;129;8.3;PG
A Separation;2011;123;8.3;PG
The Sting;1973;129;8.3;PG
Indiana Jones and the Last Crusade;1989;127;8.2;PG
Die Hard;1988;132;8.2;18
Like Stars on Earth;2007;162;8.3;PG
Metropolis;1927;153;8.3;PG
Snatch;2000;104;8.2;18
L.A. Confidential;1997;138;8.2;18
1917;2019;119;8.2;15
Hamilton;2020;160;8.3;12
Bicycle Thieves;1948;89;8.3;U
Taxi Driver;1976;114;8.2;18
Downfall;2004;156;8.2;15
Dangal;2016;161;8.3;PG
For a Few Dollars More;1965;132;8.2;15
Batman Begins;2005;140;8.2;12A
The Wolf of Wall Street;2013;;8.2;18
Some Like It Hot;1959;121;8.2;A
Green Book;2018;130;8.2;12A
The Kid;1921;68;8.2;U
The Father;2020;97;8.2;12A
Judgment at Nuremberg;1961;179;8.3;PG
The Truman Show;1998;103;8.2;PG
All About Eve;1950;138;8.2;PG
Shutter Island;2010;138;8.2;15
Top Gun: Maverick;2022;130;8.2;12A
There Will Be Blood;2007;158;8.2;12A
Casino;1995;178;8.2;18
Jurassic Park;1993;127;8.2;PG
Ran;1985;160;8.2;15
The Sixth Sense;1999;107;8.2;15
Pan's Labyrinth;2006;118;8.2;15
Unforgiven;1992;130;8.2;15
No Country for Old Men;2007;122;8.2;15
A Beautiful Mind;2001;135;8.2;12
The Thing;1982;109;8.2;X
Kill Bill: Vol. 1;2003;111;8.2;18
