Name,Budget,Gross_Us,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
The Shawshank Redemption,25000000,28767189,727327,1994-09-25 00:00:00,29322669,0,None,None,None
The Godfather,6000000,136381073,302393,1972-03-19 00:00:00,250342030,175,Color,Mono(RCA Sound Recording, original release)Dolby Digital,1.85 : 1
The Dark Knight,185000000,534987076,158411483,2008-07-20 00:00:00,1008497140,152,Color,Dolby DigitalSDDSDTS,2.39 : 1
The Godfather Part II,13000000,47834595,171417,2019-11-10 00:00:00,47962897,202,Color,Dolby Digital,1.85 : 1
12 Angry Men,0,0,0,1900-01-01 00:00:00,0,96,Black and White,Mono,1.85 : 1
Schindler's List,22000000,96898818,656636,1993-12-19 00:00:00,322161245,195,Black and WhiteColor,DTSDTS-Stereo,1.85 : 1
The Lord of the Rings: The Return of the King,94000000,379427292,72629713,2003-12-21 00:00:00,1149002839,201,Color,DTS-ESDolby Digital EXSDDSDolby Atmos,2.39 : 1
Pulp Fiction,8000000,107928762,9311882,1994-10-16 00:00:00,213928762,154,Color,Dolby DigitalDTS,2.39 : 1
The Lord of the Rings: The Fellowship of the Ring,93000000,318572165,47211490,2001-12-23 00:00:00,886498443,178,Color,DTSSDDS,2.39 : 1
The Good, the Bad and the Ugly,0,0,0,1900-01-01 00:00:00,0,148,Color,Mono,2.35 : 1
Forrest Gump,55000000,330455270,24450602,1994-07-10 00:00:00,678226465,142,ColorBlack and White,Dolby SRSDDSDolby Atmos,2.39 : 1
The Lord of the Rings: The Two Towers,94000000,344859641,62007528,2002-12-22 00:00:00,950852619,179,Color,DTS-ESDolby Digital EXSDDSDolby Atmos,2.39 : 1
Fight Club,63000000,37030102,11035485,1999-10-17 00:00:00,101320107,139,Color,Dolby Digital,2.39 : 1
Inception,160000000,292587330,62785337,2010-07-18 00:00:00,839030630,148,Color,Dolby DigitalDTSSDDS,2.39 : 1
Star Wars: Episode V - The Empire Strikes Back,18000000,292753960,4910483,1980-05-25 00:00:00,538375067,0,None,None,None
The Matrix,63000000,172076928,27788331,1999-04-04 00:00:00,467625567,136,Color,Dolby DigitalSDDSDolby Atmos,2.39 : 1
GoodFellas,25000000,46909721,6368901,1990-09-23 00:00:00,47049784,145,Color,Dolby SR,1.85 : 1
One Flew Over the Cuckoo's Nest,0,0,0,1900-01-01 00:00:00,0,133,Color,Mono,1.85 : 1
Seven,33000000,100125643,13949807,1995-09-24 00:00:00,327333559,127,Color,DTSDolby DigitalDTS 70 mm,2.39 : 1
Interstellar,165000000,188020017,47510360,2014-11-09 00:00:00,747516808,169,Color,DatasatDolby DigitalIMAX 6-TrackDolby Surround 7.1,2.39 : 1
It's a Wonderful Life,3180000,1483643,44000,2020-12-20 00:00:00,9767242,0,None,None,None
Seven Samurai,125000000,318649,15942,2002-07-28 00:00:00,346258,207,Black and White,Mono,1.37 : 1
The Silence of the Lambs,19000000,130742922,13766814,1991-02-18 00:00:00,272742922,118,Color,Dolby SRDolby Stereo,1.85 : 1
Saving Private Ryan,70000000,217049603,30576104,1998-07-26 00:00:00,482351251,169,Color,DTSDolby DigitalSDDSDolby AtmosDolby Digital EXDolby Stereo,1.85 : 1
City of God,3300000,7564459,88292,2003-01-19 00:00:00,30680793,130,Color,Dolby DigitalSDDS,1.85 : 1
Life Is Beautiful,20000000,57563264,118920,1998-10-25 00:00:00,230099013,116,Color,Dolby Digital,1.85 : 1
The Green Mile,60000000,136801374,18017152,1999-12-12 00:00:00,286801374,189,Color,DTSDolby DigitalSDDS,1.85 : 1
Terminator 2: Judgment Day,102000000,205881154,31765506,1991-07-07 00:00:00,520881154,0,None,None,None
Star Wars: Episode IV - A New Hope,11000000,460998507,1554475,1977-05-30 00:00:00,775398507,0,None,None,None
Dune: Part Two,190000000,282144358,82505391,2024-03-03 00:00:00,711844358,0,None,None,None
Back to the Future,19000000,214077472,11152500,1985-07-07 00:00:00,384577472,0,None,None,None
Spirited Away,19000000,15205725,449839,2002-09-22 00:00:00,357561772,125,Color,DTS-ESDolby Digital EX,1.85 : 1
The Pianist,35000000,32590750,111261,2002-12-29 00:00:00,120098945,150,Color,DTSDolby Digital,1.85 : 1
Parasite,11400000,53369749,393216,2019-10-13 00:00:00,262099264,132,Color,Dolby Atmos,2.39 : 1
Psycho,0,0,0,1900-01-01 00:00:00,0,109,Black and White,Dolby Digital,1.37 : 1(original & negative ratio, open matte)
Gladiator,103000000,187705427,34819017,2000-05-07 00:00:00,465387186,155,Color,SDDSDolby DigitalDolby Atmos,2.39 : 1
Spider-Man: Across the Spider-Verse,150000000,381593754,120663589,2023-06-04 00:00:00,690897910,0,None,None,None
The Lion King,45000000,422783777,1586753,1994-06-19 00:00:00,968750709,0,None,None,None
The Departed,90000000,132399394,26887467,2006-10-08 00:00:00,291481358,151,Color,Dolby DigitalSDDSDTS,2.39 : 1
Leon,115000000,19501238,5306558,1994-11-20 00:00:00,20275438,110,Color,Dolby DigitalDolby Atmos,2.39 : 1
American History X,20000000,6719864,156076,1998-11-01 00:00:00,23875714,119,Color,Dolby Digital,1.85 : 1
Whiplash,3300000,13092000,135388,2014-10-12 00:00:00,49449489,106,Color,Dolby DigitalSDDSDatasatDolby Atmos,2.39 : 1
The Prestige,40000000,53089891,14801808,2006-10-22 00:00:00,109676311,130,Color,SDDSDolby DigitalDTS,2.39 : 1
Grave of the Fireflies,3700000,516962,158101,2018-08-12 00:00:00,519421,89,Color,Dolby StereoStereo,1.85 : 1
Harakiri,0,0,0,1900-01-01 00:00:00,0,133,Black and White,Mono,2.35 : 1
The Usual Suspects,6000000,23341568,645363,1995-08-20 00:00:00,23341568,0,None,None,None
Casablanca,950000,4219709,181494,1992-04-12 00:00:00,4661588,0,None,None,None
Untouchable,9500000,10198820,103507,2012-05-27 00:00:00,426590315,112,Color,Dolby Digital,1.85 : 1
Cinema Paradiso,5000000,12397210,16552,1990-02-04 00:00:00,13020497,174,Color,Mono,1.66 : 1
Modern Times,1500000,163577,35809,2003-12-28 00:00:00,463618,87,Black and White,Silent,1.37 : 1
Rear Window,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Once Upon a Time in the West,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Alien,11000000,84206106,3527881,1979-05-28 00:00:00,108591169,0,None,None,None
City Lights,1500000,19181,9102,2007-07-08 00:00:00,50419,0,None,None,None
Django Unchained,100000000,162805434,30122888,2012-12-30 00:00:00,426076293,165,Color,SDDSDatasatDolby Digital,2.39 : 1
Apocalypse Now,31500000,96042913,118558,1979-08-19 00:00:00,104920499,0,None,None,None
Memento,9000000,25544867,235488,2001-03-18 00:00:00,40047236,113,ColorBlack and White,Dolby Digital,2.39 : 1
WALL·E,180000000,223808164,63087526,2008-06-29 00:00:00,521320168,98,Color,DTSSDDSDolby DigitalDolby Atmos,2.39 : 1
12th Fail,0,0,0,1900-01-01 00:00:00,0,147,Color,Dolby AtmosDolby Digital,2.39 : 1
Raiders of the Lost Ark,18000000,248159971,8305823,1981-06-14 00:00:00,389925971,115,Color,Dolby Atmos,2.39 : 1
The Lives of Others,2000000,11286112,223000,2007-02-11 00:00:00,77357476,137,Color,Dolby Digital,2.39 : 1
Sunset Blvd.,1752000,299645,169067,2018-05-13 00:00:00,304474,0,None,None,None
Avengers: Infinity War,321000000,678815482,257698183,2018-04-29 00:00:00,2052415039,0,None,None,None
Paths of Glory,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Spider-Man: Into the Spider-Verse,90000000,190241310,35363376,2018-12-16 00:00:00,384298736,117,Color,Dolby AtmosDolby Surround 7.112-Track Digital SoundDolby DigitalSDDS,2.39 : 1
Witness for the Prosecution,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Shining,19000000,45634352,622337,1980-05-26 00:00:00,47516353,0,None,None,None
The Great Dictator,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Aliens,18500000,85160248,10052042,1986-07-20 00:00:00,131060248,137,Color,Dolby StereoMono,1.85 : 1
Inglourious Basterds,70000000,120540719,38054676,2009-08-23 00:00:00,321458605,153,Color,SDDSDolby DigitalDTS,2.39 : 1
The Dark Knight Rises,250000000,448149584,160887295,2012-07-22 00:00:00,1085289416,164,Color,SDDSDatasatDolby DigitalIMAX 6-Track,1.78 : 1(IMAX version, original ratio)2.39 : 12.39 : 1(IMAX version, original ratio)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9440272,11751,1994-07-17 00:00:00,9631984,0,None,None,None
Coco,175000000,210460015,50802605,2017-11-26 00:00:00,814337054,105,Color,Dolby AtmosAuro 11.1Dolby Surround 7.112-Track Digital SoundDolby DigitalSDDS,2.35 : 1
Oldboy,3000000,2458200,68957,2005-03-27 00:00:00,17542965,0,Color,Dolby DigitalDolby Surround 7.1,2.35 : 1
American Beauty,15000000,130096601,861531,1999-09-19 00:00:00,356296601,122,ColorBlack and White,DTSDolby DigitalSDDSDolby,2.39 : 1
Amadeus,18000000,51973029,505276,1984-09-23 00:00:00,52071304,0,None,None,None
Toy Story,30000000,223225679,29140617,1995-11-26 00:00:00,394436586,0,None,None,None
