Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
Dune: Part Two,2024,166,PG-13,190000000,282144358,82505391,2024-03-03 00:00:00,711844358
Road House,2024,121,R,0,0,0,1900-01-01 00:00:00,0
The Beekeeper,2024,105,R,40000000,66220535,16576007,2024-01-14 00:00:00,152720535
Civil War,2024,109,R,50000000,68432794,25537368,2024-04-14 00:00:00,114097977
Damsel,2024,110,PG-13,0,0,0,1900-01-01 00:00:00,0
The Fall Guy,2024,126,13+,130000000,80281525,27747035,2024-05-05 00:00:00,158002525
Argylle,2024,139,13+,200000000,45207275,17473540,2024-02-04 00:00:00,96175599
Godzilla x Kong: The New Empire,2024,115,PG-13,135000000,196200727,80006561,2024-03-31 00:00:00,567500727
Madame Web,2024,116,13+,80000000,43817106,15335860,2024-02-18 00:00:00,100298817
Furiosa: A Mad Max Saga,2024,148,R,168000000,49700225,26326462,2024-05-26 00:00:00,114900225
Challengers,2024,131,17+,55000000,48490217,15011061,2024-04-28 00:00:00,90290217
Murder Mubarak,2024,140,TV-MA,0,0,0,1900-01-01 00:00:00,0
Teri Baaton Mein Aisa Uljha Jiya,2024,141,Not Rated,0,0,0,1900-01-01 00:00:00,0
Monkey Man,2024,121,17+,10000000,25116955,10119435,2024-04-07 00:00:00,34578510
Ghostbusters: Frozen Empire,2024,115,PG-13,100000000,112971913,45004673,2024-03-24 00:00:00,200791691
Fighter,2024,166,Not Rated,250000000,1000000,1000000,2024-01-28 00:00:00,3800771
Kingdom of the Planet of the Apes,2024,145,PG-13,160000000,140164725,58400788,2024-05-12 00:00:00,338039904
Shaitaan,2024,132,Not Rated,0,0,0,1900-01-01 00:00:00,0
Rebel Moon - Part Two: The Scargiver,2024,122,PG-13,0,0,0,1900-01-01 00:00:00,0
Ricky Stanicky,2024,113,R,0,0,0,1900-01-01 00:00:00,0
The Idea of You,2024,115,R,0,0,0,1900-01-01 00:00:00,0
Kung Fu Panda 4,2024,94,PG,85000000,193531940,57989905,2024-03-10 00:00:00,541941940
Lift,2024,107,PG-13,0,0,0,1900-01-01 00:00:00,0
Abigail,2024,109,R,28000000,25867515,10297110,2024-04-21 00:00:00,41791515
Zaferin Rengi,2024,157,Not Rated,0,0,0,1900-01-01 00:00:00,0
The Ministry of Ungentlemanly Warfare,2024,120,R,60000000,20535053,8913698,2024-04-21 00:00:00,25334016
Bade Miyan Chote Miyan,2024,163,Not Rated,350000000,689505,493782,2024-04-14 00:00:00,2635333
Spaceman,2024,107,R,0,0,0,1900-01-01 00:00:00,0
Madgaon Express,2024,143,Not Rated,0,0,0,1900-01-01 00:00:00,0
Atlas,2024,118,PG-13,0,0,0,1900-01-01 00:00:00,0
