Name, Year, Durasi(Menit), Rating 
Spider-Man: No Way Home,2021,148,PG-13
Dune,2021,155,PG-13
The Batman,2022,176,PG-13
Oppenheimer,2023,180,R
Top Gun: Maverick,2022,130,PG-13
Don't Look Up,2021,138,R
Tenet,2020,150,PG-13
The Kashmir Files,2022,170,Not Rated
Barbie,2023,114,PG-13
Everything Everywhere All at Once,2022,139,R
Avatar: The Way of Water,2022,192,PG-13
Doctor Strange in the Multiverse of Madness,2022,126,PG-13
No Time to Die,2021,163,PG-13
Glass Onion,2022,139,PG-13
Zack Snyder's Justice League,2021,242,R
Bullet Train,2022,127,R
Shang-Chi and the Legend of the Ten Rings,2021,132,PG-13
Dune: Part Two,2024,166,PG-13
Free Guy,2021,115,PG-13
Black Widow,2021,134,PG-13
The Suicide Squad,2021,132,R
Thor: Love and Thunder,2022,118,PG-13
The Menu,2022,107,R
Eternals,2021,156,PG-13
Guardians of the Galaxy Vol. 3,2023,150,PG-13
