Name,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
Dune: Part Two,190000000,282144358,82505391,2024-03-03 00:00:00,711844358
Road House,0,0,0,1900-01-01 00:00:00,0
The Beekeeper,40000000,66220535,16576007,2024-01-14 00:00:00,152720535
Civil War,50000000,68432794,25537368,2024-04-14 00:00:00,114097977
Damsel,0,0,0,1900-01-01 00:00:00,0
The Fall Guy,130000000,80281525,27747035,2024-05-05 00:00:00,158002525
Argylle,200000000,45207275,17473540,2024-02-04 00:00:00,96175599
Godzilla x Kong: The New Empire,135000000,196200727,80006561,2024-03-31 00:00:00,567500727
Madame Web,80000000,43817106,15335860,2024-02-18 00:00:00,100298817
Furiosa: A Mad Max Saga,168000000,49700225,26326462,2024-05-26 00:00:00,114900225
Challengers,55000000,48490217,15011061,2024-04-28 00:00:00,90290217
Murder Mubarak,0,0,0,1900-01-01 00:00:00,0
Teri Baaton Mein Aisa Uljha Jiya,0,0,0,1900-01-01 00:00:00,0
Monkey Man,10000000,25116955,10119435,2024-04-07 00:00:00,34578510
Ghostbusters: Frozen Empire,100000000,112971913,45004673,2024-03-24 00:00:00,200791691
Fighter,250000000,1000000,1000000,2024-01-28 00:00:00,3800771
Kingdom of the Planet of the Apes,160000000,140164725,58400788,2024-05-12 00:00:00,338039904
Shaitaan,0,0,0,1900-01-01 00:00:00,0
Rebel Moon - Part Two: The Scargiver,0,0,0,1900-01-01 00:00:00,0
Ricky Stanicky,0,0,0,1900-01-01 00:00:00,0
The Idea of You,0,0,0,1900-01-01 00:00:00,0
Kung Fu Panda 4,85000000,193531940,57989905,2024-03-10 00:00:00,541941940
Lift,0,0,0,1900-01-01 00:00:00,0
Abigail,28000000,25867515,10297110,2024-04-21 00:00:00,41791515
Zaferin Rengi,0,0,0,1900-01-01 00:00:00,0
The Ministry of Ungentlemanly Warfare,60000000,20535053,8913698,2024-04-21 00:00:00,25334016
Bade Miyan Chote Miyan,350000000,689505,493782,2024-04-14 00:00:00,2635333
Spaceman,0,0,0,1900-01-01 00:00:00,0
Madgaon Express,0,0,0,1900-01-01 00:00:00,0
Atlas,0,0,0,1900-01-01 00:00:00,0
