Name, Year, Durasi(Menit), Rating, Rated 
The Shawshank Redemption,,,
The Godfather,,,
The Dark Knight,,,
The Godfather Part II,,,
Angry Men,,,
Schindler's List,,,
The Lord of the Rings: The Return of the King,,,
Pulp Fiction,,,
The Lord of the Rings: The Fellowship of the Ring,,,
The Good, the Bad and the Ugly,,,
Forrest Gump,,,
The Lord of the Rings: The Two Towers,,,
Fight Club,,,
Inception,,,
Star Wars: Episode V - The Empire Strikes Back,,,
The Matrix,,,
GoodFellas,,,
One Flew Over the Cuckoo's Nest,,,
Seven,,,
Interstellar,,,
It's a Wonderful Life,,,
Seven Samurai,,,
The Silence of the Lambs,,,
Saving Private Ryan,,,
City of God,,,
Life Is Beautiful,,,
The Green Mile,,,
Terminator Judgment Day,,,
Star Wars: Episode IV - A New Hope,,,
Dune: Part Two,,,
Back to the Future,,,
Spirited Away,,,
The Pianist,,,
Parasite,,,
Psycho,,,
Gladiator,,,
Spider-Man: Across the Spider-Verse,,,
The Lion King,,,
The Departed,,,
Leon,,,
American History X,,,
Whiplash,,,
The Prestige,,,
Grave of the Fireflies,,,
Harakiri,,,
The Usual Suspects,,,
Casablanca,,,
Untouchable,,,
Cinema Paradiso,,,
Modern Times,,,
Rear Window,,,
Once Upon a Time in the West,,,
Alien,,,
City Lights,,,
Django Unchained,,,
Apocalypse Now,,,
Memento,,,
WALL·E,,,
12th Fail,,,
Raiders of the Lost Ark,,,
The Lives of Others,,,
Sunset Blvd.,,,
Avengers: Infinity War,,,
Paths of Glory,,,
Spider-Man: Into the Spider-Verse,,,
Witness for the Prosecution,,,
The Shining,,,
The Great Dictator,,,
Aliens,,,
Inglourious Basterds,,,
The Dark Knight Rises,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,,
Coco,,,
Oldboy,,,
American Beauty,,,
Amadeus,,,
Toy Story,,,
Avengers: Endgame,,,
Das Boot,,,
Braveheart,,,
Good Will Hunting,,,
Princess Mononoke,,,
Joker,,,
Your Name.,,,
High and Low,,,
Once Upon a Time in America,,,
3 Idiots,,,
Singin' in the Rain,,,
Capernaum,,,
Come and See,,,
Requiem for a Dream,,,
Toy Story 3,,,
Star Wars: Episode VI - Return of the Jedi,,,
Eternal Sunshine of the Spotless Mind,,,
The Hunt,,,
A Space Odyssey,,,
Reservoir Dogs,,,
Ikiru,,,
Oppenheimer,,,
Lawrence of Arabia,,,
The Apartment,,,
Incendies,,,
North by Northwest,,,
Citizen Kane,,,
M,,,
Scarface,,,
Double Indemnity,,,
Vertigo,,,
Full Metal Jacket,,,
Amélie,,,
Heat,,,
Up,,,
A Clockwork Orange,,,
To Kill a Mockingbird,,,
A Separation,,,
The Sting,,,
Indiana Jones and the Last Crusade,,,
Die Hard,,,
Like Stars on Earth,,,
Metropolis,,,
Snatch,,,
L.A. Confidential,,,
1917,,,
Hamilton,,,
Bicycle Thieves,,,
Taxi Driver,,,
Downfall,,,
Dangal,,,
For a Few Dollars More,,,
Batman Begins,,,
The Wolf of Wall Street,,,
Some Like It Hot,,,
Green Book,,,
The Kid,,,
The Father,,,
Judgment at Nuremberg,,,
The Truman Show,,,
All About Eve,,,
Top Gun: Maverick,,,
Shutter Island,,,
There Will Be Blood,,,
Casino,,,
Jurassic Park,,,
Ran,,,
The Sixth Sense,,,
Pan's Labyrinth,,,
Unforgiven,,,
No Country for Old Men,,,
A Beautiful Mind,,,
The Thing,,,
Kill Bill: Vol. 1,,,
The Treasure of the Sierra Madre,,,
Yojimbo,,,
Monty Python and the Holy Grail,,,
The Great Escape,,,
Finding Nemo,,,
Prisoners,,,
Howl's Moving Castle,,,
Rashomon,,,
The Elephant Man,,,
Dial M for Murder,,,
Chinatown,,,
Gone with the Wind,,,
Lock, Stock and Two Smoking Barrels,,,
The Secret in Their Eyes,,,
V for Vendetta,,,
Inside Out,,,
Raging Bull,,,
Three Billboards Outside Ebbing, Missouri,,,
Trainspotting,,,
The Bridge on the River Kwai,,,
Klaus,,,
Fargo,,,
Catch Me If You Can,,,
Spider-Man: No Way Home,,,
Warrior,,,
Gran Torino,,,
Million Dollar Baby,,,
Harry Potter and the Deathly Hallows: Part 2,,,
My Neighbour Totoro,,,
Children of Heaven,,,
Years a Slave,,,
Ben-Hur,,,
Blade Runner,,,
Before Sunrise,,,
The Grand Budapest Hotel,,,
Barry Lyndon,,,
Mad Max: Fury Road,,,
Gone Girl,,,
Hacksaw Ridge,,,
The Gold Rush,,,
Dead Poets Society,,,
Memories of Murder,,,
In the Name of the Father,,,
Wild Tales,,,
The Deer Hunter,,,
Monsters, Inc.,,,
The General,,,
On the Waterfront,,,
Sherlock Jr.,,,
How to Train Your Dragon,,,
Jaws,,,
The Third Man,,,
The Wages of Fear,,,
Mary and Max,,,
Wild Strawberries,,,
Ratatouille,,,
Mr. Smith Goes to Washington,,,
Le Mans '66,,,
Tokyo Story,,,
The Big Lebowski,,,
Room,,,
Rocky,,,
The Seventh Seal,,,
Logan,,,
Spotlight,,,
Hotel Rwanda,,,
The Terminator,,,
Platoon,,,
La haine,,,
The Passion of Joan of Arc,,,
Before Sunset,,,
The Best Years of Our Lives,,,
Pirates of the Caribbean: The Curse of the Black Pearl,,,
The Exorcist,,,
Jai Bhim,,,
Rush,,,
Network,,,
The Wizard of Oz,,,
Stand by Me,,,
The Incredibles,,,
Hachi: A Dog's Tale,,,
My Father and My Son,,,
The Handmaiden,,,
The Sound of Music,,,
Into the Wild,,,
To Be or Not to Be,,,
The Battle of Algiers,,,
The Grapes of Wrath,,,
Groundhog Day,,,
Amores perros,,,
The Iron Giant,,,
Rebecca,,,
Cool Hand Luke,,,
The Help,,,
It Happened One Night,,,
Drishyam,,,
Dances with Wolves,,,
Aladdin,,,
Gangs of Wasseypur,,,
